mun,edo,fecha,man,urban,d_victim_crime,n_victim_crime,d_murder,n_murder,d_dissappeared,family_dis,perception_sec
Centro,Tabasco,01mar2019,1,1,0,,1,1,1,0,.b
León,Guanajuato,13feb2019,0,0,0,,1,3,1,0,3
Cuautitlán Izcalli,Estado de México,05feb2019,1,1,0,,0,,1,0,3
Papantla,Veracruz,06feb2019,0,0,0,,0,,1,0,2
Ciudad Victoria,Tamaulipas,01mar2019,0,1,0,,0,,0,0,1
Othón P. Blanco,Quintana Roo,04mar2019,0,1,0,,0,,1,0,1
Ocoyucan,Puebla,25mar2019,1,1,0,,0,,1,0,1
Hopelchén,Campeche,05mar2019,0,0,0,,0,,1,0,2
Mérida,Yucatán,03mar2019,0,1,0,,1,3,1,0,3
San Cristóbal,Chiapas,06mar2019,0,1,0,,0,,1,0,3
Nopala de Villagrán,Hidalgo,07mar2019,0,1,0,,1,3,1,0,3
Zapopan,Jalisco,15feb2019,1,1,0,,1,2,1,0,3
León,Guanajuato,13feb2019,1,0,0,,1,1,1,0,2
San Luis Río Colorado,Sonora,25feb2019,1,1,0,,0,,1,0,2
Caltepec,Puebla,16feb2019,1,1,0,,0,,0,0,2
Fresnillo,Zacatecas,05mar2019,1,1,0,,1,2,0,0,1
Los Cabos,Baja California Sur,25mar2019,1,0,0,,0,,1,0,3
Tijuana,Baja California,28feb2019,0,1,0,,1,2,1,0,2
Chicoloapan,Estado de México,05feb2019,1,1,0,,1,1,1,0,4
Bochil,Chiapas,08mar2019,0,1,0,,0,,1,0,3
Paraíso,Tabasco,02mar2019,0,0,0,,0,,1,0,3
Iztapalapa,Distrito Federal,31jan2019,0,1,0,,1,2,1,0,3
Zamora,Michoacán,11feb2019,0,1,0,,1,1,1,1,4
Toluca,Estado de México,04feb2019,0,1,0,,0,,1,0,2
Boca del Río,Veracruz,07feb2019,0,1,0,,1,1,1,1,4
Eduardo Neri,Guerrero,28feb2019,1,1,0,,1,2,1,0,4
